timestamp	domain	txt_file	json_file	node_source_file	hash_string	index	loader	vector_store	llm	embedding_model	similarity_top_k	chunking_config	git_user	git_repo	git_branch	directory_filter	file_ext_filter	elapsed_time	version
2024-07-01 00:47:56 EDT-0400	usability	usability-1-3c9de35a454f7a1649e22121a670141c.txt	usability-1-3c9de35a454f7a1649e22121a670141c.json	usability-1-3c9de35a454f7a1649e22121a670141c.txt	3c9de35a454f7a1649e22121a670141c	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	3	2048 chunk size/50 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	1.69	0.2
2024-07-01 00:48:36 EDT-0400	usability	usability-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	usability-1-88ff09d6f80d5cfe8079b4df293bab0a.json	usability-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	88ff09d6f80d5cfe8079b4df293bab0a	1	SimpleDirectoryReader	VectorStoreIndex	gpt-4-turbo	text-embedding-3-large	2	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	3.32	0.2
2024-07-01 00:49:18 EDT-0400	usability	usability-1-38db31935cc3b03b471b882a6ced1b22.txt	usability-1-38db31935cc3b03b471b882a6ced1b22.json	usability-1-38db31935cc3b03b471b882a6ced1b22.txt	38db31935cc3b03b471b882a6ced1b22	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	4	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	2.36	0.2
2024-07-01 00:47:59 EDT-0400	io	io-1-3c9de35a454f7a1649e22121a670141c.txt	io-1-3c9de35a454f7a1649e22121a670141c.json	io-1-3c9de35a454f7a1649e22121a670141c.txt	3c9de35a454f7a1649e22121a670141c	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	3	2048 chunk size/50 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	3.25	0.2
2024-07-01 00:48:44 EDT-0400	io	io-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	io-1-88ff09d6f80d5cfe8079b4df293bab0a.json	io-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	88ff09d6f80d5cfe8079b4df293bab0a	1	SimpleDirectoryReader	VectorStoreIndex	gpt-4-turbo	text-embedding-3-large	2	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	8.03	0.2
2024-07-01 00:49:21 EDT-0400	io	io-1-38db31935cc3b03b471b882a6ced1b22.txt	io-1-38db31935cc3b03b471b882a6ced1b22.json	io-1-38db31935cc3b03b471b882a6ced1b22.txt	38db31935cc3b03b471b882a6ced1b22	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	4	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	3.07	0.2
2024-07-01 00:48:10 EDT-0400	description	description-1-3c9de35a454f7a1649e22121a670141c.txt	description-1-3c9de35a454f7a1649e22121a670141c.json	description-1-3c9de35a454f7a1649e22121a670141c.txt	3c9de35a454f7a1649e22121a670141c	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	3	2048 chunk size/50 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	10.65	0.2
2024-07-01 00:48:58 EDT-0400	description	description-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	description-1-88ff09d6f80d5cfe8079b4df293bab0a.json	description-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	88ff09d6f80d5cfe8079b4df293bab0a	1	SimpleDirectoryReader	VectorStoreIndex	gpt-4-turbo	text-embedding-3-large	2	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	13.88	0.2
2024-07-01 00:49:32 EDT-0400	description	description-1-38db31935cc3b03b471b882a6ced1b22.txt	description-1-38db31935cc3b03b471b882a6ced1b22.json	description-1-38db31935cc3b03b471b882a6ced1b22.txt	38db31935cc3b03b471b882a6ced1b22	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	4	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	10.24	0.2
2024-07-01 00:48:20 EDT-0400	execution	execution-1-3c9de35a454f7a1649e22121a670141c.txt	NA	execution-1-3c9de35a454f7a1649e22121a670141c.txt	3c9de35a454f7a1649e22121a670141c	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	3	2048 chunk size/50 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	10.24	0.2
2024-07-01 00:49:07 EDT-0400	execution	execution-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	execution-1-88ff09d6f80d5cfe8079b4df293bab0a.json	execution-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	88ff09d6f80d5cfe8079b4df293bab0a	1	SimpleDirectoryReader	VectorStoreIndex	gpt-4-turbo	text-embedding-3-large	2	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	8.67	0.2
2024-07-01 00:49:36 EDT-0400	execution	execution-1-38db31935cc3b03b471b882a6ced1b22.txt	execution-1-38db31935cc3b03b471b882a6ced1b22.json	execution-1-38db31935cc3b03b471b882a6ced1b22.txt	38db31935cc3b03b471b882a6ced1b22	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	4	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	4.5	0.2
2024-07-01 00:48:22 EDT-0400	parametric	parametric-1-3c9de35a454f7a1649e22121a670141c.txt	parametric-1-3c9de35a454f7a1649e22121a670141c.json	parametric-1-3c9de35a454f7a1649e22121a670141c.txt	3c9de35a454f7a1649e22121a670141c	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	3	2048 chunk size/50 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	1.65	0.2
2024-07-01 00:49:08 EDT-0400	parametric	parametric-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	parametric-1-88ff09d6f80d5cfe8079b4df293bab0a.json	parametric-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	88ff09d6f80d5cfe8079b4df293bab0a	1	SimpleDirectoryReader	VectorStoreIndex	gpt-4-turbo	text-embedding-3-large	2	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	1.57	0.2
2024-07-01 00:49:38 EDT-0400	parametric	parametric-1-38db31935cc3b03b471b882a6ced1b22.txt	parametric-1-38db31935cc3b03b471b882a6ced1b22.json	parametric-1-38db31935cc3b03b471b882a6ced1b22.txt	38db31935cc3b03b471b882a6ced1b22	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	4	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	1.64	0.2
2024-07-01 00:48:27 EDT-0400	error	error-1-3c9de35a454f7a1649e22121a670141c.txt	error-1-3c9de35a454f7a1649e22121a670141c.json	error-1-3c9de35a454f7a1649e22121a670141c.txt	3c9de35a454f7a1649e22121a670141c	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	3	2048 chunk size/50 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	5.11	0.2
2024-07-01 00:49:10 EDT-0400	error	error-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	error-1-88ff09d6f80d5cfe8079b4df293bab0a.json	error-1-88ff09d6f80d5cfe8079b4df293bab0a.txt	88ff09d6f80d5cfe8079b4df293bab0a	1	SimpleDirectoryReader	VectorStoreIndex	gpt-4-turbo	text-embedding-3-large	2	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ['exclude', ['data', 'fastq', 'logs']]}	{'filter': ['exclude', ['.bed', '.gz', '.txt']]}	1.84	0.2
2024-07-01 00:49:40 EDT-0400	error	error-1-38db31935cc3b03b471b882a6ced1b22.txt	error-1-38db31935cc3b03b471b882a6ced1b22.json	error-1-38db31935cc3b03b471b882a6ced1b22.txt	38db31935cc3b03b471b882a6ced1b22	1	SimpleDirectoryReader	VectorStoreIndex	gpt-3.5-turbo	text-embedding-3-large	4	1024 chunk size/20 chunk overlap	dpastling	plethora	master	{'filter': ('exclude', ['data', 'fastq', 'logs'])}	{'filter': ('exclude', ['.bed', '.gz', '.txt'])}	2.25	0.2
